111,10.5356541,8.08186722,6.77E-04,2.60E-02
112,10.583005,8.15865993,3.21E-04,1.79E-02
113,10.630146,8.14000607,4.97E-03,7.05E-02
114,10.6770782,7.97663498,1.94E-03,4.40E-02
115,10.7238054,8.03627396,6.73E-04,2.60E-02
116,10.7703295,8.10297871,7.81E-04,2.79E-02
117,10.8166542,8.15812588,2.84E-04,1.68E-02
118,10.8627806,8.20211983,4.11E-04,2.03E-02
119,10.9087124,8.26051331,2.74E-04,1.66E-02
120,10.9544516,8.27108574,5.09E-04,2.26E-02
121,11,8.30308723,3.74E-04,1.93E-02
122,11.0453606,8.31428146,9.83E-04,3.14E-02
123,11.0905361,8.22421837,4.96E-04,2.23E-02
124,11.1355286,8.27994061,1.69E-03,4.11E-02
125,11.1803398,8.33894634,3.40E-04,1.84E-02
126,11.2249718,8.34800243,2.06E-04,1.43E-02
127,11.2694273,8.40585995,4.37E-04,2.09E-02
128,11.3137083,8.36632538,7.26E-04,2.69E-02
129,11.3578167,8.44582748,1.84E-03,4.29E-02
130,11.4017544,8.60352612,2.11E-03,4.59E-02
131,11.4455233,8.6564703,4.74E-04,2.18E-02
132,11.4891253,8.69317818,4.95E-04,2.22E-02
133,11.5325623,8.65435028,7.51E-03,8.67E-02
134,11.5758371,8.55621243,1.01E-03,3.18E-02
135,11.6189499,8.46956539,8.67E-04,2.94E-02
136,11.6619034,8.49680138,1.15E-03,3.40E-02
137,11.7046995,8.52263832,5.42E-04,2.33E-02
138,11.7473402,8.40279865,1.93E-03,4.39E-02
139,11.7898264,8.32378483,1.88E-03,4.33E-02
140,11.83216,8.39296532,5.54E-04,2.35E-02
141,11.874342,8.34340763,2.05E-03,4.53E-02
142,11.9163752,8.06629944,1.58E-02,0.125628591
143,11.9582605,7.94793844,3.55E-03,5.96E-02
144,12,7.97000122,2.05E-03,4.53E-02
145,12.0415945,7.95561361,1.96E-03,4.43E-02
146,12.083046,7.94391298,5.92E-04,2.43E-02
147,12.1243553,7.93637085,3.61E-03,6.01E-02
148,12.1655254,8.11915016,1.01E-03,3.17E-02
149,12.2065554,8.28008461,6.80E-03,8.24E-02
150,12.2474489,8.39710999,9.65E-04,3.11E-02
151,12.2882061,8.37526608,2.17E-03,4.65E-02
152,12.3288279,8.42721081,6.03E-04,2.45E-02
153,12.3693171,8.48821449,8.78E-04,2.96E-02
154,12.4096737,8.51571178,6.08E-04,2.47E-02
155,12.4498997,8.50743771,8.50E-04,2.92E-02
156,12.489996,8.53685665,1.79E-04,1.34E-02
157,12.5299644,8.54754734,8.33E-04,2.89E-02
158,12.5698051,8.48450947,1.45E-04,1.20E-02
159,12.60952,8.55208397,2.38E-04,1.54E-02
160,12.6491108,8.57442665,9.04E-05,9.51E-03
161,12.6885777,8.52750683,4.51E-04,2.12E-02
162,12.7279224,8.5537672,5.88E-04,2.42E-02
163,12.7671452,8.58659267,1.58E-04,1.26E-02
164,12.8062487,8.60466862,5.89E-05,7.68E-03
165,12.845233,8.66698265,1.22E-03,3.50E-02
166,12.884099,8.71534824,1.15E-04,1.07E-02
167,12.9228477,8.70827198,8.46E-04,2.91E-02
168,12.9614811,8.69464016,1.67E-04,1.29E-02
169,13,8.66210842,1.03E-03,3.21E-02
170,13.0384045,8.59416962,3.09E-04,1.76E-02
171,13.0766964,8.61921978,4.86E-04,2.20E-02
172,13.1148767,8.67228127,9.88E-05,9.94E-03
173,13.1529465,8.61098289,2.02E-04,1.42E-02
174,13.1909056,8.60731792,3.97E-04,1.99E-02
175,13.2287569,8.62985611,1.14E-04,1.07E-02
176,13.2664995,8.5316124,1.61E-03,4.02E-02
177,13.3041344,8.52015305,3.02E-04,1.74E-02
178,13.3416643,8.52862358,1.01E-03,3.17E-02
179,13.3790884,8.51716137,1.77E-03,4.21E-02
180,13.4164076,8.47223377,9.08E-04,3.01E-02
181,13.4536238,8.50050163,1.13E-03,3.36E-02
182,13.4907379,8.59567356,3.26E-04,1.80E-02
183,13.5277491,8.57507038,2.12E-04,1.45E-02
184,13.5646601,8.56724453,9.49E-05,9.74E-03
185,13.6014709,8.51026154,4.18E-04,2.04E-02
186,13.6381817,8.53170395,4.48E-04,2.12E-02
187,13.6747942,8.56051922,2.38E-04,1.54E-02
188,13.7113094,8.58099365,1.22E-04,1.10E-02
189,13.7477274,8.60935974,9.24E-04,3.04E-02
190,13.784049,8.64619827,5.41E-05,7.36E-03
191,13.8202753,8.64454269,1.94E-04,1.39E-02
192,13.8564062,8.68116474,1.73E-05,4.15E-03
193,13.8924437,8.70333958,4.17E-05,6.46E-03
194,13.9283886,8.68154049,1.60E-04,1.26E-02
195,13.9642401,8.66238213,3.36E-04,1.83E-02
196,14,8.64787292,6.12E-04,2.47E-02
197,14.0356684,8.71014118,1.39E-04,1.18E-02
198,14.0712471,8.66232014,3.98E-04,1.99E-02
199,14.1067362,8.68413544,2.74E-04,1.66E-02
200,14.1421356,8.61407089,6.57E-04,2.56E-02
201,14.1774473,8.66466618,1.03E-03,3.22E-02
202,14.2126703,8.71315384,4.88E-04,2.21E-02
203,14.2478065,8.72066116,2.57E-04,1.60E-02
204,14.2828569,8.73978519,1.01E-04,1.00E-02
205,14.3178215,8.73594666,1.74E-04,1.32E-02
206,14.3527002,8.71575165,1.72E-04,1.31E-02
207,14.387495,8.78062248,3.25E-04,1.80E-02
208,14.422205,8.81797409,4.97E-05,7.05E-03
209,14.4568319,8.86483574,1.29E-03,3.59E-02
210,14.4913769,8.92829514,1.18E-04,1.09E-02
211,14.5258389,8.94585609,1.94E-04,1.39E-02
212,14.5602198,8.96012974,2.53E-04,1.59E-02
213,14.5945196,8.9938221,8.69E-05,9.32E-03
214,14.6287384,8.98117256,2.91E-04,1.71E-02
215,14.662878,9.03797913,7.32E-05,8.55E-03
216,14.6969385,9.02502918,3.40E-04,1.84E-02
217,14.7309198,9.04941368,9.90E-04,3.15E-02
218,14.764823,9.07679367,1.31E-04,1.14E-02
219,14.7986488,9.06672096,4.37E-04,2.09E-02
220,14.8323965,9.05033493,6.16E-04,2.48E-02
221,14.8660688,9.02401829,1.80E-04,1.34E-02
222,14.8996649,9.01118374,3.40E-04,1.84E-02
223,14.9331846,9.04534817,1.20E-04,1.10E-02
224,14.96663,9.0246582,1.10E-03,3.32E-02
225,15,8.96370125,1.71E-04,1.31E-02
226,15.0332966,9.00845909,9.94E-05,9.97E-03
227,15.0665188,8.97298145,1.40E-04,1.18E-02
